"","V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","deaths_mean","deaths_lower","deaths_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","totdea_mean","totdea_lower","totdea_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
"24",44019,"Tennessee","2020-01-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"25",44020,"Tennessee","2020-01-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"26",44021,"Tennessee","2020-01-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"27",44022,"Tennessee","2020-01-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"28",44023,"Tennessee","2020-01-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"29",44024,"Tennessee","2020-01-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"30",44025,"Tennessee","2020-01-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"31",44026,"Tennessee","2020-01-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"32",44027,"Tennessee","2020-01-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"33",44028,"Tennessee","2020-01-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"34",44029,"Tennessee","2020-01-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"35",44030,"Tennessee","2020-01-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"36",44031,"Tennessee","2020-01-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"37",44032,"Tennessee","2020-01-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"38",44033,"Tennessee","2020-01-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"39",44034,"Tennessee","2020-01-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"40",44035,"Tennessee","2020-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"41",44036,"Tennessee","2020-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"42",44037,"Tennessee","2020-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"43",44038,"Tennessee","2020-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"44",44039,"Tennessee","2020-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"45",44040,"Tennessee","2020-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"46",44041,"Tennessee","2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"47",44042,"Tennessee","2020-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"48",44043,"Tennessee","2020-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"49",44044,"Tennessee","2020-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"50",44045,"Tennessee","2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"51",44046,"Tennessee","2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"52",44047,"Tennessee","2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"53",44048,"Tennessee","2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"54",44049,"Tennessee","2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"55",44050,"Tennessee","2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"56",44051,"Tennessee","2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"57",44052,"Tennessee","2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,0,0,0
"58",44053,"Tennessee","2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",-2.49705686041007,"",NA,NA,0,0,0
"59",44054,"Tennessee","2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",-2.12103849229659,"",NA,NA,0,0,0
"60",44055,"Tennessee","2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",-1.56024457853698,"",NA,NA,0,0,0
"61",44056,"Tennessee","2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",-0.888948282782277,"",NA,NA,0,0,0
"62",44057,"Tennessee","2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",-0.185664753524648,"",NA,NA,0,0,0
"63",44058,"Tennessee","2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",0.478835301831712,"",NA,NA,0,0,0
"64",44059,"Tennessee","2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",1.05029829582092,"",NA,NA,2.19425761454585,0,14.4622922551175
"65",44060,"Tennessee","2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",1.49636599552641,"",NA,NA,2.49671193558757,0,14.2240567412202
"66",44061,"Tennessee","2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",1.80990609139668,"",NA,NA,2.3526107089702,0,15.4457943548403
"67",44062,"Tennessee","2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",2.01041109398687,"",NA,NA,2.4308112123384,0,15.3277125235338
"68",44063,"Tennessee","2020-02-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",2.13396088775445,"",NA,NA,2.10435904708791,0,14.1959867492188
"69",44064,"Tennessee","2020-02-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",2.21725669818134,"",NA,NA,0,0,0
"70",44065,"Tennessee","2020-02-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",2.29231189824504,"",NA,NA,0,0,0
"71",44066,"Tennessee","2020-02-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",2.38749684289294,"",NA,NA,0,0,0
"72",44067,"Tennessee","2020-02-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",2.52088392177627,"",NA,NA,0,0,0
"73",44068,"Tennessee","2020-02-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",2.70110957435137,"",NA,NA,0,0,0
"74",44069,"Tennessee","2020-02-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",2.92718192582966,"",NA,NA,0,0,0
"75",44070,"Tennessee","2020-02-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.18282014764787,"",NA,NA,0,0,0
"76",44071,"Tennessee","2020-02-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.43755259250476,"",NA,NA,0,0,0
"77",44072,"Tennessee","2020-02-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.6582687461224,"",NA,NA,0.195339312816617,0,1.28747609767436
"78",44073,"Tennessee","2020-02-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.81881085267148,"",NA,NA,0.999208078081363,0,5.12081272251402
"79",44074,"Tennessee","2020-02-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.9046425498621,"",NA,NA,3.63192431476985,0,16.7308643917482
"80",44075,"Tennessee","2020-03-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.91784400021974,"",NA,NA,10.3223100795405,0,42.0803945275744
"81",44076,"Tennessee","2020-03-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.88242251363096,"",NA,NA,23.4465748921105,0.818109199600428,82.3628162724125
"82",44077,"Tennessee","2020-03-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.82477434457871,"",NA,NA,38.6402269863666,3.25395089298136,101.847252320704
"83",44078,"Tennessee","2020-03-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"observed",3.75316029419854,"",NA,NA,51.2550951463682,10.631400536974,116.181826665916
"84",44079,"Tennessee","2020-03-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",3.65031119929611,"observed",1.00000000672017,0.704825699911349,61.2310150690614,26.7394151611905,124.718564682764
"85",44080,"Tennessee","2020-03-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",3.47517570260873,"observed",4.60119050711126,0.365979444501939,73.881100809866,48.3249903955024,140.202017093103
"86",44081,"Tennessee","2020-03-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",3.16928288383337,"observed",8.20238100750233,0.554812187667652,90.3993446968497,49.0444438815745,194.004366154589
"87",44082,"Tennessee","2020-03-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",2.66670731670164,"observed",11.8035715078934,0.861435912063584,119.681930077178,49.0914453491107,284.344611923918
"88",44083,"Tennessee","2020-03-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",1.90953168920851,"observed",15.4047620082845,1.35798505963182,169.445543105994,50.8373592730752,409.845767522403
"89",44084,"Tennessee","2020-03-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",0.855171152951243,"observed",24.3061226123209,2.12687172742295,249.079502883546,80.6491769036423,596.41634475955
"90",44085,"Tennessee","2020-03-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-0.524249656435778,"observed",33.2074832163572,3.23050367675899,354.185336857169,118.20434438252,836.03869080402
"91",44086,"Tennessee","2020-03-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-2.24138453173398,"observed",42.1088438203936,4.6772936361011,479.609907367029,174.23653024046,1054.23172637233
"92",44087,"Tennessee","2020-03-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-4.29227021801922,"observed",51.0102044244299,6.43327380269046,601.730072419777,246.576254813902,1218.51150101247
"93",44088,"Tennessee","2020-03-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-6.65588848847442,"observed",59.9115650284662,8.53006997308301,711.709078165841,367.513672284705,1423.91544017588
"94",44089,"Tennessee","2020-03-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-9.29341287647891,"observed",68.8129256325028,11.2333877920135,787.156521499488,494.455160950214,1505.5498113317
"95",44090,"Tennessee","2020-03-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-12.1473472779645,"observed",77.7142862365386,15.1648453984443,836.674874510752,605.104535508776,1578.98302649268
"96",44091,"Tennessee","2020-03-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-15.1447567903337,"observed",471.258506568296,21.3024177574055,864.11556463682,627.873459396852,1615.21862189397
"97",44092,"Tennessee","2020-03-18",4.02990510835913,2.45,6.63157894736842,1,1,1,1,1,1,0,0,0,4.02990510835913,2.45,6.63157894736842,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-18.2003647897658,"observed",864.802726900054,30.8545170766519,898.799403298151,643.116964762603,1722.51829745715
"98",44093,"Tennessee","2020-03-19",8.05136633986928,5.55,11.3504605263158,2,2,2,2,2,2,0,0,0,4.02146123151015,2.42105263157895,6.40052631578947,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-21.2217692790703,"observed",1258.34694723182,44.9423523382184,936.227832654376,662.510951685165,1806.63844051866
"99",44094,"Tennessee","2020-03-20",12.0648821465428,8.89875,15.6525,3,3,3,3,3,3,0,0,0,4.01351580667355,2.45,6.25032894736842,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-24.116271759951,"observed",1651.89116756357,63.9797395300777,969.15381959712,686.139342750902,1846.26566097136
"100",44095,"Tennessee","2020-03-21",15.980117371861,12.5480921052632,20.4002941176471,4.26673551771586,4.05,4.6,4.19680335397317,4,4.45,1,1,1,3.9152352253182,2.5,6.2,1.26673551771586,1.05,1.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-26.7999184456618,"observed",2045.43538789533,86.9231518208661,967.103459399204,674.258482867969,1883.18846906923
"101",44096,"Tennessee","2020-03-22",20.0181664258686,16.05,24.80375,5.53237500859993,5.15789473684211,6,5.39480779153767,5.10526315789474,5.75,1,1,1,4.03804905400757,2.47309210526316,6.37046052631579,1.26563949088407,1.05,1.60078947368421,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"observed",-29.2095192370867,"observed",2438.97960822709,111.114222701103,920.654757118621,536.927561925702,1754.17753220506
"102",44097,"Tennessee","2020-03-23",27.9768836945304,23.2090131578947,33.55125,7.80344669762642,7.35,8.36842105263158,7.59388114895081,7.25,8.1,0,0,0,7.95871726866185,5.54940789473684,11.0500657894737,2.27107168902649,2.05,2.6,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,"observed",-31.3081747117637,"observed",2832.52382855885,133.431164202352,835.511587662744,464.096720744999,1599.00340528207
"103",44098,"Tennessee","2020-03-24",38.9938454076367,33.3883771929825,45.9025,10.0586535947712,9.55,10.6842105263158,9.78124234606123,9.4,10.2635233918129,0,0,0,12.0169617131063,8.94736842105263,16,3.25520689714482,3.05,3.57894736842105,2,2,2,0,0,0,0,0,0,1,1,1,2,2,2,"observed",-33.0885169867101,"observed",2829.95920269128,152.169551778282,751.073363864498,462.237055513899,1449.54057744737
"104",44099,"Tennessee","2020-03-25",51.2660194530444,44.6,58.7009210526316,13.3319784657723,12.7368421052632,14,12.9840055211558,12.5263157894737,13.5,1,1,1,16.0353436360509,12.3495833333333,20.6,4.27332487100103,4.05,4.6,3,3,3,0,0,0,0,0,0,1,1,1,3,3,3,"observed",-34.5704555208088,"observed",2827.3945768237,168.002717538687,696.334106270295,458.435062840689,1274.95031509961
"105",44100,"Tennessee","2020-03-26",67.5032645338837,59.5494078947368,76.4505147058824,17.8591961988304,17.1576973684211,18.6508552631579,17.3758954076367,16.8333333333333,18.05,0,0,0,19.9930668214654,16.0475,24.8511184210526,5.52721773305814,5.2,6,3,3,3,0,0,0,0,0,0,1,1,1,4,4,4,"observed",-35.7948513509511,"observed",2824.82995095612,183.208700928105,687.147283491169,466.663707684203,1283.64906806022
