ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
47,TENNESSEE,TN,Stewart,47161,"Stewart County, Tennessee",459.7758705,13301,0,6851,51,5246,235,2159,445,403,119,22601,1581,1370,239,2617,88,2808,58,2730,320,375,150,1050,7,11,69,58,30,1464,229,97,67,173,63,130,110,16.5,3.4,7.2,2.2,22601.0,1581.0,14.4,2.5,19.7,0.7,21.1,0.4,20.9,2.5,7.1,2.9,7.9,0.1,0.1,0.6,0.8,0.4,21.4,3.3,1.8,1.3,3.3,1.2,1.0,0.8,0.3617,0.617,0.5851,0.2766,1.8404,0.4043,0.6383,0.4255,0.6915,0.2447,2.0,0.5319,0.383,0.0638,0.4468,0.2021,0.1489,0.6489,0.4149,0.0532,0.0745,1.3404,0.0319,5.6276,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,405,10.0,3.1,11094
47,TENNESSEE,TN,Knox,47093,"Knox County, Tennessee",508.3311719,456185,0,202269,371,183318,1235,67732,2605,11489,918,31678,576,27363,1160,69073,79,96826,82,56682,1523,14288,836,79600,245,5300,723,27320,1070,8836,592,2445,370,11283,639,11341,786,15.2,0.6,4.8,0.4,31678.0,576.0,9.0,0.4,15.1,0.1,21.2,0.0,12.5,0.3,7.8,0.5,17.4,0.1,1.2,0.2,13.5,0.5,4.4,0.3,1.3,0.2,6.2,0.3,2.5,0.2,0.2447,0.1596,0.0426,0.0426,0.4895,0.0532,0.1064,0.4468,0.0319,0.4255,1.0106,0.0,0.8085,0.8085,1.617,0.8723,0.9894,0.0532,0.117,0.6809,0.7021,2.5426,0.5213,5.6597,0.1277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,37842,1721,8.4,0.4,447486
47,TENNESSEE,TN,Washington,47179,"Washington County, Tennessee",326.490164,127055,0,60016,217,53190,700,19210,1550,2963,435,28261,964,9861,850,22227,100,24697,0,22990,1056,4332,519,14137,78,454,199,5564,530,5842,535,679,218,3424,478,4964,472,15.7,1.3,4.8,0.7,28261.0,964.0,11.4,1.0,17.5,0.1,19.4,0.0,18.4,0.8,8.1,1.0,11.1,0.1,0.4,0.2,9.3,0.9,9.7,0.9,1.3,0.4,6.4,0.9,3.9,0.4,0.266,0.1596,0.1489,0.0957,0.6702,0.1064,0.3404,0.1489,0.3617,0.5106,1.3616,0.0851,0.5638,0.4255,0.9893,0.4787,0.9362,0.1702,0.117,0.734,0.8404,2.7978,0.7872,5.8189,0.1383,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11354,1013,9.1,0.8,133558
47,TENNESSEE,TN,Roane,47145,"Roane County, Tennessee",360.7300248,52897,0,25636,77,20963,496,7838,1044,1689,356,27897,1409,4608,595,11618,136,10053,61,10586,692,941,208,3743,35,156,155,781,162,4606,538,330,126,1142,241,753,154,15.0,2.0,7.3,1.6,27897.0,1409.0,11.8,1.5,22.0,0.3,19.0,0.1,20.3,1.3,4.5,1.0,7.1,0.1,0.3,0.3,3.0,0.6,18.0,2.1,1.6,0.6,5.4,1.2,1.4,0.3,0.2234,0.6489,0.1702,0.1277,1.1702,0.234,0.9043,0.1064,0.6277,0.0319,1.6703,0.2872,0.3298,0.3298,0.6596,0.3617,0.6809,0.5532,0.3085,0.4894,0.3085,2.3405,0.3617,5.8406,0.1489,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4513,622,8.6,1.2,52620
47,TENNESSEE,TN,Loudon,47105,"Loudon County, Tennessee",229.2719178,51610,0,22798,60,20215,436,6105,812,1180,225,30175,1658,5397,464,13135,104,10251,89,7779,714,1098,230,6174,10,1243,449,859,254,2472,272,529,169,975,264,406,84,11.9,1.6,5.4,1.0,30175.0,1658.0,14.3,1.2,25.5,0.2,19.9,0.2,15.2,1.4,5.4,1.1,12.0,0.0,2.5,0.9,3.8,1.1,10.8,1.2,2.6,0.8,4.8,1.3,0.8,0.2,0.0851,0.2979,0.0745,0.266,0.7235,0.1489,0.9787,0.2128,0.1809,0.0638,1.4362,0.117,0.617,0.9681,1.5851,0.8617,0.766,0.1809,0.8191,0.3191,0.0213,2.1064,0.2234,5.8512,0.1596,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,5290,812,10.3,1.6,44390
47,TENNESSEE,TN,Tipton,47167,"Tipton County, Tennessee",458.403998,61446,0,23734,84,21325,355,8432,1126,2279,358,27212,1230,5356,447,8469,83,15386,59,9672,725,2231,352,14804,43,229,158,395,158,2692,299,366,152,901,170,699,219,13.9,1.9,7.7,1.2,27212.0,1230.0,13.1,1.1,13.8,0.1,25.0,0.1,16.0,1.2,10.5,1.6,24.1,0.1,0.4,0.3,1.7,0.7,11.3,1.3,1.7,0.7,4.2,0.8,1.1,0.4,0.1277,0.6596,0.1915,0.1702,1.149,0.2234,0.0532,0.9468,0.2128,0.8723,2.0851,0.6064,0.8723,0.4255,1.2978,0.6809,0.5,0.234,0.3511,0.2021,0.117,1.4042,0.0638,5.9361,0.1702,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5674,553,9.4,0.9,41636
47,TENNESSEE,TN,Rutherford,47149,"Rutherford County, Tennessee",619.2479587,307128,0,115575,169,109468,828,35604,2695,8196,866,28883,501,16820,1091,30572,62,76457,0,32676,1479,10530,722,87043,282,6645,747,11265,762,4733,534,2298,396,3151,395,4774,407,11.8,0.9,4.8,0.5,28883.0,501.0,8.8,0.6,10.0,0.1,24.9,0.0,10.7,0.5,9.6,0.7,28.3,0.1,2.3,0.3,9.7,0.7,4.1,0.5,2.1,0.4,2.9,0.4,1.6,0.1,0.0745,0.1596,0.1064,0.0213,0.3618,0.0319,0.0106,0.9362,0.0106,0.7872,1.7446,0.3298,0.8936,0.9574,1.851,0.9787,0.9574,0.0426,0.5851,0.0106,0.4681,2.0638,0.2021,6.0212,0.1809,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,3,27117,1825,8.9,0.6,275069
47,TENNESSEE,TN,Maury,47119,"Maury County, Tennessee",613.1381351,89776,0,37000,106,33572,461,10986,1238,2287,360,27307,1397,6556,497,13716,118,21025,4,12541,1010,3096,388,18372,88,661,236,1679,339,4403,453,690,191,1378,280,1215,245,12.4,1.4,5.2,0.8,27307.0,1397.0,10.6,0.8,15.3,0.1,23.4,0.0,14.1,1.1,9.2,1.2,20.5,0.1,0.8,0.3,4.5,0.9,11.9,1.2,2.1,0.6,4.1,0.8,1.4,0.3,0.0957,0.266,0.1809,0.0638,0.6064,0.0957,0.1596,0.7979,0.0851,0.7234,1.766,0.3511,0.8404,0.6809,1.5213,0.8298,0.8298,0.266,0.5851,0.1702,0.3085,2.1596,0.2553,6.0533,0.1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8259,936,9.3,1.1,83734
47,TENNESSEE,TN,Hamilton,47065,"Hamilton County, Tennessee",542.3398685,357546,0,157532,316,140890,1199,47360,2246,9965,977,31184,578,27043,1236,60258,15,74920,23,49895,1650,10429,755,102849,157,4528,628,16819,869,5702,530,1813,306,9676,646,11574,762,13.7,0.6,5.5,0.5,31184.0,578.0,10.8,0.5,16.9,0.1,21.0,0.0,14.1,0.5,7.4,0.5,28.8,0.0,1.3,0.2,10.7,0.6,3.6,0.3,1.3,0.2,6.9,0.5,3.2,0.2,0.117,0.3191,0.0638,0.0745,0.5744,0.0745,0.2872,0.4043,0.0851,0.2979,1.0745,0.0106,0.9043,0.8191,1.7234,0.9362,0.9681,0.0319,0.117,0.8085,0.8085,2.734,0.7021,6.1063,0.2021,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,31758,1724,9.0,0.5,388129
47,TENNESSEE,TN,Dickson,47043,"Dickson County, Tennessee",489.8980427,51988,0,21588,61,18978,336,7333,1073,946,213,26093,1721,6015,530,8051,139,12279,73,8415,668,1321,272,5356,65,329,155,719,178,2906,350,454,123,977,233,721,152,14.3,2.1,4.0,0.9,26093.0,1721.0,16.9,1.5,15.5,0.3,23.6,0.1,16.3,1.3,7.0,1.4,10.3,0.1,0.7,0.3,3.3,0.8,13.5,1.6,2.4,0.6,5.1,1.2,1.4,0.3,0.1702,0.0638,0.2553,0.5,0.9893,0.1915,0.1702,0.8085,0.2447,0.2234,1.4468,0.1277,0.5213,0.6277,1.149,0.5851,0.734,0.3936,0.734,0.4043,0.3085,2.5744,0.5532,6.1595,0.2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6039,648,11.7,1.3,43737
